Id da RUN,Score,Deliveres,steps,seed,status
1,133,6,158,1,completed
2,-94,6,213,2,completed
3,-6,6,173,3,completed
4,66,6,180,4,completed
5,49,6,163,5,completed
6,-62,6,187,6,completed
7,13,6,206,7,completed
8,113,6,132,8,completed
9,-120,6,223,9,completed
10,80,6,168,10,completed
11,-88,6,180,11,completed
12,-245,6,248,12,completed
13,98,6,153,13,completed
14,-3,6,169,14,completed
15,123,6,143,15,completed
16,99,6,144,16,completed
17,32,6,190,17,completed
18,-128,6,192,18,completed
19,73,6,163,19,completed
20,93,6,142,20,completed
21,-217,6,237,21,completed
22,-74,6,192,22,completed
23,-55,6,192,23,completed
24,-82,6,202,24,completed
25,59,6,140,25,completed
26,73,6,166,26,completed
27,89,6,139,27,completed
28,79,6,164,28,completed
29,20,6,164,29,completed
30,82,6,136,30,completed
31,63,6,124,31,completed
32,-157,6,221,32,completed
33,90,6,142,33,completed
34,-27,6,187,34,completed
35,89,6,140,35,completed
36,68,6,182,36,completed
37,-87,6,214,37,completed
38,-39,6,188,38,completed
39,-196,6,197,39,completed
40,107,6,140,40,completed
41,104,6,142,41,completed
42,68,6,156,42,completed
43,135,6,156,43,completed
44,37,6,160,44,completed
45,73,6,141,45,completed
46,-15,6,183,46,completed
47,21,6,161,47,completed
48,79,6,146,48,completed
49,98,6,141,49,completed
50,-87,6,226,50,completed
51,-109,6,191,51,completed
52,112,6,148,52,completed
53,170,6,130,53,completed
54,64,6,183,54,completed
55,68,6,186,55,completed
56,76,6,149,56,completed
57,73,6,162,57,completed
58,66,6,164,58,completed
59,-118,6,234,59,completed
60,86,6,138,60,completed
61,13,6,169,61,completed
62,-139,6,225,62,completed
63,61,6,154,63,completed
64,136,6,150,64,completed
65,-34,6,180,65,completed
66,1,6,186,66,completed
67,15,6,166,67,completed
68,177,6,123,68,completed
69,147,6,133,69,completed
70,21,6,167,70,completed
71,19,6,164,71,completed
72,74,6,168,72,completed
73,176,6,119,73,completed
74,-24,6,186,74,completed
75,52,6,164,75,completed
76,-93,6,214,76,completed
77,-14,6,169,77,completed
78,68,6,127,78,completed
79,44,6,152,79,completed
80,0,6,193,80,completed
81,13,6,160,81,completed
82,-149,6,218,82,completed
83,-84,6,170,83,completed
84,-143,6,211,84,completed
85,5,6,170,85,completed
86,78,6,146,86,completed
87,98,6,138,87,completed
88,126,6,127,88,completed
89,18,6,180,89,completed
90,11,6,168,90,completed
91,-102,6,193,91,completed
92,-181,6,232,92,completed
93,-145,6,205,93,completed
94,14,6,165,94,completed
95,104,6,132,95,completed
96,124,6,121,96,completed
97,75,6,177,97,completed
98,-17,6,157,98,completed
99,126,6,141,99,completed
100,-109,6,221,100,completed
101,13,6,142,101,completed
102,20,6,175,102,completed
103,156,6,135,103,completed
104,93,6,149,104,completed
105,-123,6,227,105,completed
106,71,6,157,106,completed
107,-27,6,171,107,completed
108,89,6,151,108,completed
109,69,6,143,109,completed
110,29,6,174,110,completed
111,87,6,146,111,completed
112,120,6,120,112,completed
113,-7,6,178,113,completed
114,-56,6,173,114,completed
115,71,6,153,115,completed
116,-247,6,277,116,completed
117,-73,6,182,117,completed
118,48,6,160,118,completed
119,-14,6,179,119,completed
120,-270,6,266,120,completed
121,12,6,174,121,completed
122,104,6,127,122,completed
123,70,6,158,123,completed
124,74,6,152,124,completed
125,32,6,167,125,completed
126,50,6,167,126,completed
127,69,6,175,127,completed
128,41,6,170,128,completed
129,-66,6,216,129,completed
130,-22,6,205,130,completed
131,85,6,150,131,completed
132,-61,6,187,132,completed
133,-83,6,179,133,completed
134,151,6,125,134,completed
135,141,6,153,135,completed
136,23,6,148,136,completed
137,-12,6,165,137,completed
138,109,6,146,138,completed
139,173,6,127,139,completed
140,144,6,145,140,completed
141,103,6,122,141,completed
142,107,6,141,142,completed
143,194,6,106,143,completed
144,60,6,147,144,completed
145,0,6,176,145,completed
146,-26,6,174,146,completed
147,105,6,138,147,completed
148,73,6,171,148,completed
149,169,6,116,149,completed
150,143,6,144,150,completed
