Id da RUN,Score,Deliveres,steps,seed,status
1,151,6,148,1,completed
2,-58,6,201,2,completed
3,48,6,157,3,completed
4,88,6,170,4,completed
5,81,6,155,5,completed
6,-50,6,183,6,completed
7,13,6,206,7,completed
8,113,6,132,8,completed
9,-80,6,211,9,completed
10,93,6,164,10,completed
11,-64,6,174,11,completed
12,-195,6,234,12,completed
13,102,6,151,13,completed
14,-3,6,169,14,completed
15,135,6,137,15,completed
16,99,6,144,16,completed
17,83,6,170,17,completed
18,-114,6,188,18,completed
19,73,6,163,19,completed
20,101,6,138,20,completed
21,-201,6,233,21,completed
22,-70,6,190,22,completed
23,-25,6,182,23,completed
24,-74,6,200,24,completed
25,89,6,130,25,completed
26,91,6,160,26,completed
27,131,6,125,27,completed
28,87,6,160,28,completed
29,32,6,160,29,completed
30,88,6,134,30,completed
31,69,6,122,31,completed
32,-117,6,209,32,completed
33,94,6,140,33,completed
34,-3,6,175,34,completed
35,101,6,134,35,completed
36,85,6,174,36,completed
37,-43,6,196,37,completed
38,-23,6,184,38,completed
39,-142,6,183,39,completed
40,123,6,136,40,completed
41,136,6,126,41,completed
42,76,6,152,42,completed
43,158,6,142,43,completed
44,51,6,154,44,completed
45,81,6,139,45,completed
46,-5,6,179,46,completed
47,33,6,157,47,completed
48,103,6,140,48,completed
49,128,6,131,49,completed
50,-49,6,212,50,completed
51,-109,6,191,51,completed
52,112,6,148,52,completed
53,170,6,130,53,completed
54,74,6,179,54,completed
55,92,6,174,55,completed
56,76,6,149,56,completed
57,81,6,158,57,completed
58,78,6,160,58,completed
59,-56,6,212,59,completed
60,104,6,132,60,completed
61,50,6,159,61,completed
62,-135,6,223,62,completed
63,119,6,144,63,completed
64,152,6,142,64,completed
65,16,6,166,65,completed
66,5,6,184,66,completed
67,35,6,156,67,completed
68,179,6,121,68,completed
69,147,6,133,69,completed
70,25,6,165,70,completed
71,45,6,152,71,completed
72,98,6,158,72,completed
73,189,6,111,73,completed
74,-24,6,186,74,completed
75,74,6,154,75,completed
76,-59,6,200,76,completed
77,-14,6,169,77,completed
78,86,6,121,78,completed
79,66,6,151,79,completed
80,26,6,181,80,completed
81,36,6,154,81,completed
82,-79,6,198,82,completed
83,-14,6,152,83,completed
84,-115,6,201,84,completed
85,37,6,154,85,completed
86,88,6,142,86,completed
87,98,6,138,87,completed
88,126,6,127,88,completed
89,18,6,180,89,completed
90,35,6,160,90,completed
91,-78,6,187,91,completed
92,-157,6,222,92,completed
93,-109,6,193,93,completed
94,46,6,157,94,completed
95,108,6,130,95,completed
96,136,6,117,96,completed
97,84,6,173,97,completed
98,-9,6,155,98,completed
99,138,6,135,99,completed
100,-73,6,211,100,completed
101,13,6,142,101,completed
102,32,6,171,102,completed
103,164,6,131,103,completed
104,140,6,133,104,completed
105,-60,6,207,105,completed
106,114,6,141,106,completed
107,9,6,159,107,completed
108,101,6,147,108,completed
109,85,6,139,109,completed
