Id da RUN,Score,Deliveres,steps,seed,status
1,174,6,126,1,completed
2,50,6,159,2,completed
3,99,6,129,3,completed
4,82,6,153,4,completed
5,124,6,132,5,completed
6,22,6,163,6,completed
7,122,6,156,7,completed
8,118,6,126,8,completed
9,32,6,153,9,completed
10,51,6,159,10,completed
11,89,6,114,11,completed
12,4,6,174,12,completed
13,74,6,165,13,completed
14,17,6,141,14,completed
15,187,6,111,15,completed
16,43,6,149,16,completed
17,169,6,128,17,completed
18,73,6,130,18,completed
19,158,6,133,19,completed
20,156,6,104,20,completed
21,56,6,119,21,completed
22,-5,6,149,22,completed
23,128,6,127,23,completed
24,-73,6,188,24,completed
25,85,6,130,25,completed
26,192,6,108,26,completed
27,111,6,131,27,completed
28,71,6,162,28,completed
29,165,6,104,29,completed
30,112,6,126,30,completed
31,207,6,89,31,completed
32,89,6,131,32,completed
33,49,6,152,33,completed
34,-9,6,169,34,completed
35,179,6,99,35,completed
36,2,6,200,36,completed
37,49,6,159,37,completed
38,74,6,165,38,completed
39,-105,6,183,39,completed
40,64,6,154,40,completed
41,33,6,164,41,completed
42,78,6,148,42,completed
43,140,6,113,43,completed
44,146,6,123,44,completed
45,85,6,135,45,completed
46,113,6,143,46,completed
47,32,6,137,47,completed
48,117,6,130,48,completed
49,120,6,135,49,completed
50,-7,6,167,50,completed
51,74,6,145,51,completed
52,90,6,154,52,completed
53,145,6,147,53,completed
54,115,6,141,54,completed
55,168,6,132,55,completed
56,61,6,143,56,completed
57,101,6,148,57,completed
58,72,6,162,58,completed
59,92,6,148,59,completed
60,146,6,112,60,completed
61,63,6,143,61,completed
62,-20,6,177,62,completed
63,31,6,154,63,completed
64,78,6,149,64,completed
65,98,6,133,65,completed
66,71,6,154,66,completed
67,59,6,144,67,completed
68,175,6,125,68,completed
69,181,6,119,69,completed
70,124,6,112,70,completed
71,-21,6,182,71,completed
72,3,6,174,72,completed
73,153,6,140,73,completed
74,156,6,122,74,completed
75,72,6,146,75,completed
76,129,6,116,76,completed
77,125,6,127,77,completed
78,42,6,129,78,completed
79,80,6,147,79,completed
80,178,6,111,80,completed
81,57,6,138,81,completed
82,-28,6,169,82,completed
83,89,6,132,83,completed
84,47,6,129,84,completed
85,73,6,136,85,completed
86,168,6,119,86,completed
87,207,6,78,87,completed
88,190,6,95,88,completed
89,-51,6,188,89,completed
90,-48,6,166,90,completed
91,-19,6,147,91,completed
92,34,6,153,92,completed
93,35,6,146,93,completed
94,88,6,157,94,completed
95,0,6,136,95,completed
96,169,6,103,96,completed
97,189,6,111,97,completed
98,22,6,163,98,completed
99,150,6,129,99,completed
100,36,6,171,100,completed
101,90,6,141,101,completed
102,58,6,141,102,completed
103,181,6,119,103,completed
104,132,6,125,104,completed
105,-29,6,186,105,completed
106,135,6,125,106,completed
107,45,6,143,107,completed
108,77,6,155,108,completed
109,46,6,154,109,completed
110,102,6,136,110,completed
111,150,6,108,111,completed
112,156,6,102,112,completed
113,77,6,146,113,completed
114,-32,6,159,114,completed
115,77,6,151,115,completed
116,65,6,157,116,completed
117,-21,6,172,117,completed
118,178,6,112,118,completed
119,6,6,183,119,completed
120,-84,6,186,120,completed
121,54,6,128,121,completed
122,108,6,123,122,completed
123,72,6,154,123,completed
124,18,6,170,124,completed
125,0,6,167,125,completed
126,144,6,119,126,completed
127,104,6,143,127,completed
128,115,6,134,128,completed
129,92,6,142,129,completed
130,158,6,127,130,completed
131,101,6,143,131,completed
132,101,6,154,132,completed
133,-32,6,169,133,completed
134,128,6,130,134,completed
135,183,6,117,135,completed
136,54,6,142,136,completed
137,28,6,169,137,completed
138,149,6,126,138,completed
139,163,6,110,139,completed
140,167,6,133,140,completed
141,81,6,126,141,completed
142,158,6,132,142,completed
143,187,6,110,143,completed
144,77,6,117,144,completed
145,158,6,118,145,completed
146,84,6,151,146,completed
147,131,6,130,147,completed
148,125,6,135,148,completed
149,169,6,114,149,completed
150,159,6,110,150,completed
