Id da RUN,Score,Deliveres,steps,seed,status
1,151,6,148,1,completed
2,-316,6,265,2,completed
3,46,6,149,3,completed
4,56,6,177,4,completed
5,119,6,145,5,completed
6,-34,6,181,6,completed
7,55,6,184,7,completed
8,113,6,132,8,completed
9,-145,6,212,9,completed
10,93,6,164,10,completed
11,-206,6,210,11,completed
12,-215,6,222,12,completed
13,102,6,151,13,completed
14,-47,6,169,14,completed
15,135,6,137,15,completed
16,135,6,121,16,completed
17,127,6,148,17,completed
18,-237,6,213,18,completed
19,96,6,161,19,completed
20,101,6,138,20,completed
21,-103,6,185,21,completed
22,-17,6,153,22,completed
23,-25,6,182,23,completed
24,-39,6,182,24,completed
25,83,6,132,25,completed
26,52,6,167,26,completed
27,131,6,125,27,completed
28,87,6,160,28,completed
29,32,6,160,29,completed
30,-25,6,171,30,completed
31,67,6,122,31,completed
32,-61,6,177,32,completed
33,94,6,140,33,completed
34,-197,6,205,34,completed
35,101,6,134,35,completed
36,85,6,174,36,completed
37,-41,6,178,37,completed
38,-89,6,188,38,completed
39,17,6,177,39,completed
40,111,6,138,40,completed
41,136,6,126,41,completed
42,134,6,138,42,completed
43,158,6,142,43,completed
44,45,6,156,44,completed
45,87,6,141,45,completed
46,-51,6,185,46,completed
47,41,6,157,47,completed
48,53,6,158,48,completed
49,114,6,116,49,completed
50,21,6,174,50,completed
51,-83,6,202,51,completed
52,120,6,144,52,completed
53,170,6,130,53,completed
54,117,6,152,54,completed
55,92,6,174,55,completed
56,-4,6,157,56,completed
57,81,6,158,57,completed
58,5,6,170,58,completed
59,-187,6,211,59,completed
60,84,6,138,60,completed
61,2,6,151,61,completed
62,-85,6,181,62,completed
63,85,6,146,63,completed
64,9,6,173,64,completed
65,19,6,161,65,completed
66,-93,6,178,66,completed
67,35,6,156,67,completed
68,179,6,121,68,completed
69,97,6,127,69,completed
70,25,6,165,70,completed
71,1,6,158,71,completed
72,98,6,158,72,completed
73,189,6,111,73,completed
74,92,6,151,74,completed
75,-50,6,180,75,completed
76,-93,6,190,76,completed
77,23,6,152,77,completed
78,86,6,121,78,completed
79,111,6,141,79,completed
80,-166,6,209,80,completed
81,18,6,160,81,completed
82,-82,6,184,82,completed
83,15,6,162,83,completed
84,-73,6,169,84,completed
85,37,6,154,85,completed
86,73,6,147,86,completed
87,80,6,142,87,completed
88,126,6,127,88,completed
89,-87,6,191,89,completed
90,-38,6,173,90,completed
91,-139,6,189,91,completed
92,-93,6,168,92,completed
93,-63,6,161,93,completed
94,-73,6,194,94,completed
95,31,6,155,95,completed
96,107,6,131,96,completed
97,-87,6,193,97,completed
98,5,6,147,98,completed
99,138,6,135,99,completed
100,17,6,185,100,completed
101,-45,6,160,101,completed
102,-103,6,187,102,completed
103,164,6,131,103,completed
104,111,6,134,104,completed
105,-23,6,184,105,completed
106,114,6,141,106,completed
107,67,6,139,107,completed
108,21,6,169,108,completed
109,85,6,139,109,completed
110,92,6,148,110,completed
111,105,6,140,111,completed
112,120,6,120,112,completed
113,33,6,164,113,completed
114,-62,6,175,114,completed
115,-125,6,203,115,completed
116,-182,6,225,116,completed
117,-97,6,179,117,completed
118,-35,6,168,118,completed
119,-10,6,165,119,completed
120,-99,6,207,120,completed
121,-102,6,183,121,completed
122,98,6,129,122,completed
123,58,6,136,123,completed
124,102,6,142,124,completed
125,13,6,158,125,completed
126,77,6,155,126,completed
127,37,6,176,127,completed
128,-115,6,198,128,completed
129,-42,6,208,129,completed
130,106,6,153,130,completed
131,101,6,142,131,completed
132,-8,6,178,132,completed
133,-109,6,177,133,completed
134,166,6,119,134,completed
135,120,6,157,135,completed
136,17,6,148,136,completed
137,-58,6,179,137,completed
138,157,6,142,138,completed
139,175,6,125,139,completed
140,148,6,143,140,completed
141,93,6,126,141,completed
142,119,6,137,142,completed
143,196,6,104,143,completed
144,80,6,131,144,completed
145,-98,6,200,145,completed
146,-56,6,180,146,completed
147,186,6,97,147,completed
148,100,6,152,148,completed
149,158,6,115,149,completed
150,32,6,159,150,completed
