Id da RUN,Score,Deliveres,steps,seed,status
1,62,6,155,1,completed
2,-276,6,251,2,completed
3,24,6,153,3,completed
4,52,6,179,4,completed
5,119,6,145,5,completed
6,-50,6,187,6,completed
7,55,6,184,7,completed
8,113,6,132,8,completed
9,-179,6,222,9,completed
10,80,6,168,10,completed
11,-200,6,206,11,completed
12,-263,6,238,12,completed
13,98,6,153,13,completed
14,-47,6,169,14,completed
15,123,6,143,15,completed
16,132,6,121,16,completed
17,57,6,162,17,completed
18,-269,6,221,18,completed
19,90,6,163,19,completed
20,93,6,142,20,completed
21,-111,6,187,21,completed
22,-259,6,215,22,completed
23,-60,6,185,23,completed
24,-54,6,188,24,completed
25,53,6,142,25,completed
26,16,6,185,26,completed
27,87,6,151,27,completed
28,79,6,164,28,completed
29,20,6,164,29,completed
30,-27,6,176,30,completed
31,61,6,124,31,completed
32,-148,6,235,32,completed
33,69,6,150,33,completed
34,-27,6,187,34,completed
35,89,6,140,35,completed
36,45,6,194,36,completed
37,-59,6,184,37,completed
38,-39,6,191,38,completed
39,17,6,177,39,completed
40,87,6,142,40,completed
41,106,6,132,41,completed
42,118,6,146,42,completed
43,65,6,159,43,completed
44,25,6,164,44,completed
45,75,6,145,45,completed
46,-63,6,189,46,completed
47,25,6,165,47,completed
48,35,6,164,48,completed
49,105,6,120,49,completed
50,-77,6,181,50,completed
51,-108,6,212,51,completed
52,112,6,148,52,completed
53,170,6,130,53,completed
54,109,6,156,54,completed
55,68,6,186,55,completed
56,-52,6,173,56,completed
57,73,6,162,57,completed
58,68,6,169,58,completed
59,-221,6,223,59,completed
60,50,6,152,60,completed
61,-4,6,153,61,completed
62,-99,6,185,62,completed
63,75,6,146,63,completed
64,-9,6,179,64,completed
65,-17,6,175,65,completed
66,-108,6,183,66,completed
67,15,6,166,67,completed
68,177,6,123,68,completed
69,97,6,127,69,completed
70,21,6,167,70,completed
71,37,6,146,71,completed
72,74,6,168,72,completed
73,77,6,144,73,completed
74,80,6,157,74,completed
75,-14,6,174,75,completed
76,-105,6,194,76,completed
77,7,6,160,77,completed
78,68,6,127,78,completed
79,74,6,139,79,completed
80,66,6,173,80,completed
81,-103,6,170,81,completed
82,-88,6,186,82,completed
83,-1,6,160,83,completed
84,-91,6,175,84,completed
85,21,6,162,85,completed
86,73,6,147,86,completed
87,80,6,142,87,completed
88,126,6,127,88,completed
89,-99,6,195,89,completed
90,-54,6,179,90,completed
91,-211,6,213,91,completed
92,-125,6,176,92,completed
93,-99,6,171,93,completed
94,-119,6,208,94,completed
95,31,6,155,95,completed
96,106,6,127,96,completed
97,-101,6,199,97,completed
98,-3,6,149,98,completed
99,126,6,141,99,completed
100,7,6,189,100,completed
101,-45,6,160,101,completed
102,-103,6,187,102,completed
103,156,6,135,103,completed
104,31,6,148,104,completed
105,-143,6,213,105,completed
106,89,6,149,106,completed
107,124,6,142,107,completed
108,13,6,173,108,completed
109,-25,6,167,109,completed
110,29,6,174,110,completed
111,107,6,136,111,completed
112,120,6,120,112,completed
113,9,6,172,113,completed
114,-122,6,193,114,completed
115,-161,6,215,115,completed
116,-194,6,223,116,completed
117,-137,6,191,117,completed
118,-5,6,170,118,completed
119,52,6,173,119,completed
120,-114,6,199,120,completed
121,-120,6,189,121,completed
122,86,6,133,122,completed
123,40,6,162,123,completed
124,36,6,170,124,completed
125,5,6,160,125,completed
126,11,6,156,126,completed
127,25,6,182,127,completed
128,-121,6,200,128,completed
129,-50,6,214,129,completed
130,102,6,155,130,completed
131,85,6,150,131,completed
132,-30,6,182,132,completed
133,-153,6,193,133,completed
134,151,6,125,134,completed
135,104,6,165,135,completed
136,13,6,150,136,completed
137,-28,6,169,137,completed
138,141,6,150,138,completed
139,173,6,127,139,completed
140,144,6,145,140,completed
141,89,6,124,141,completed
142,129,6,133,142,completed
143,194,6,106,143,completed
144,62,6,137,144,completed
145,-82,6,192,145,completed
146,-2,6,162,146,completed
147,182,6,99,147,completed
148,88,6,158,148,completed
149,146,6,121,149,completed
150,28,6,161,150,completed
