Id da RUN,Score,Deliveres,steps,seed,status
1,148,6,107,1,completed
2,27,6,157,2,completed
3,-22,6,168,3,completed
4,145,6,124,4,completed
5,118,6,133,5,completed
6,124,6,117,6,completed
7,35,6,162,7,completed
8,155,6,135,8,completed
9,-11,6,152,9,completed
10,32,6,164,10,completed
11,-17,6,152,11,completed
12,136,6,132,12,completed
13,211,6,89,13,completed
14,-5,6,184,14,completed
15,36,6,166,15,completed
16,90,6,138,16,completed
17,36,6,173,17,completed
18,130,6,142,18,completed
19,92,6,126,19,completed
20,71,6,125,20,completed
21,-16,6,156,21,completed
22,-19,6,172,22,completed
23,174,6,126,23,completed
24,132,6,122,24,completed
25,42,6,159,25,completed
26,-89,6,197,26,completed
27,167,6,117,27,completed
28,168,6,121,28,completed
29,94,6,138,29,completed
30,7,6,176,30,completed
31,50,6,149,31,completed
32,63,6,135,32,completed
33,77,6,140,33,completed
34,-70,6,179,34,completed
35,110,6,138,35,completed
36,-165,6,222,36,completed
37,188,6,112,37,completed
38,75,6,136,38,completed
39,43,6,156,39,completed
40,47,6,149,40,completed
41,75,6,136,41,completed
42,153,6,128,42,completed
43,123,6,144,43,completed
44,222,6,78,44,completed
45,128,6,139,45,completed
46,85,6,142,46,completed
47,101,6,156,47,completed
48,70,6,133,48,completed
49,157,6,143,49,completed
50,71,6,146,50,completed
51,89,6,141,51,completed
52,2,6,172,52,completed
53,186,6,114,53,completed
54,127,6,141,54,completed
55,-48,6,189,55,completed
56,5,6,168,56,completed
57,163,6,122,57,completed
58,172,6,128,58,completed
59,-29,6,183,59,completed
60,115,6,127,60,completed
61,99,6,146,61,completed
62,-301,6,250,62,completed
63,193,6,107,63,completed
64,157,6,130,64,completed
65,92,6,134,65,completed
66,180,6,120,66,completed
67,110,6,130,67,completed
68,87,6,144,68,completed
69,131,6,110,69,completed
70,47,6,169,70,completed
71,-41,6,167,71,completed
72,109,6,144,72,completed
73,108,6,127,73,completed
74,-41,6,188,74,completed
75,147,6,117,75,completed
76,-9,6,179,76,completed
77,1,6,144,77,completed
78,12,6,153,78,completed
79,135,6,124,79,completed
80,189,6,111,80,completed
81,44,6,139,81,completed
82,97,6,128,82,completed
83,145,6,120,83,completed
84,-252,6,238,84,completed
85,95,6,150,85,completed
86,174,6,126,86,completed
87,0,6,166,87,completed
88,135,6,118,88,completed
89,124,6,130,89,completed
90,109,6,161,90,completed
91,192,6,108,91,completed
92,158,6,119,92,completed
93,43,6,140,93,completed
94,88,6,130,94,completed
95,6,6,149,95,completed
96,72,6,148,96,completed
97,126,6,145,97,completed
98,154,6,134,98,completed
99,63,6,151,99,completed
100,74,6,160,100,completed
101,178,6,122,101,completed
102,51,6,152,102,completed
103,165,6,122,103,completed
104,119,6,116,104,completed
105,-16,6,160,105,completed
106,82,6,157,106,completed
107,7,6,180,107,completed
108,160,6,118,108,completed
109,134,6,120,109,completed
110,86,6,147,110,completed
111,196,6,104,111,completed
112,147,6,129,112,completed
113,49,6,155,113,completed
114,53,6,156,114,completed
115,182,6,117,115,completed
116,34,6,172,116,completed
117,-25,6,168,117,completed
118,53,6,139,118,completed
119,86,6,150,119,completed
120,95,6,143,120,completed
121,-172,6,211,121,completed
122,162,6,109,122,completed
123,85,6,145,123,completed
124,149,6,119,124,completed
125,60,6,158,125,completed
126,169,6,124,126,completed
127,79,6,157,127,completed
128,150,6,129,128,completed
129,-31,6,175,129,completed
130,192,6,108,130,completed
131,187,6,113,131,completed
132,-315,6,270,132,completed
133,56,6,147,133,completed
134,83,6,135,134,completed
135,183,6,117,135,completed
136,-41,6,170,136,completed
137,70,6,156,137,completed
138,153,6,133,138,completed
139,-10,6,152,139,completed
140,110,6,117,140,completed
141,57,6,134,141,completed
142,98,6,138,142,completed
143,37,6,163,143,completed
144,134,6,134,144,completed
145,119,6,122,145,completed
146,52,6,158,146,completed
147,174,6,107,147,completed
148,55,6,144,148,completed
149,157,6,133,149,completed
150,148,6,125,150,completed
