Id da RUN,Score,Deliveres,steps,seed,status
1,98,6,137,1,completed
2,-106,6,217,2,completed
3,88,6,139,3,completed
4,56,6,177,4,completed
5,50,6,171,5,completed
6,-14,6,171,6,completed
7,55,6,184,7,completed
8,51,6,154,8,completed
9,-115,6,214,9,completed
10,-3,6,183,10,completed
11,-205,6,214,11,completed
12,-256,6,256,12,completed
13,146,6,129,13,completed
14,-9,6,171,14,completed
15,115,6,147,15,completed
16,147,6,115,16,completed
17,31,6,176,17,completed
18,-91,6,203,18,completed
19,96,6,161,19,completed
20,96,6,124,20,completed
21,-235,6,257,21,completed
22,-52,6,177,22,completed
23,-186,6,234,23,completed
24,-25,6,186,24,completed
25,101,6,139,25,completed
26,20,6,183,26,completed
27,43,6,169,27,completed
28,44,6,178,28,completed
29,32,6,160,29,completed
30,81,6,160,30,completed
31,16,6,160,31,completed
32,-62,6,198,32,completed
33,70,6,152,33,completed
34,-96,6,211,34,completed
35,85,6,142,35,completed
36,105,6,164,36,completed
37,-43,6,182,37,completed
38,-41,6,188,38,completed
39,-110,6,201,39,completed
40,-21,6,183,40,completed
41,63,6,164,41,completed
42,134,6,138,42,completed
43,109,6,137,43,completed
44,24,6,161,44,completed
45,135,6,136,45,completed
46,76,6,166,46,completed
47,26,6,170,47,completed
48,75,6,164,48,completed
49,69,6,134,49,completed
50,-93,6,215,50,completed
51,-61,6,200,51,completed
52,129,6,137,52,completed
53,162,6,138,53,completed
54,70,6,164,54,completed
55,84,6,178,55,completed
56,21,6,163,56,completed
57,68,6,164,57,completed
58,-100,6,193,58,completed
59,-257,6,251,59,completed
60,18,6,166,60,completed
61,10,6,155,61,completed
62,-82,6,191,62,completed
63,-17,6,173,63,completed
64,111,6,133,64,completed
65,17,6,165,65,completed
66,-29,6,190,66,completed
67,-45,6,183,67,completed
68,133,6,127,68,completed
69,18,6,141,69,completed
70,25,6,165,70,completed
71,15,6,162,71,completed
72,23,6,162,72,completed
73,109,6,118,73,completed
74,92,6,151,74,completed
75,6,6,162,75,completed
76,-77,6,202,76,completed
77,9,6,158,77,completed
78,46,6,129,78,completed
79,91,6,151,79,completed
80,-54,6,187,80,completed
81,-141,6,202,81,completed
82,-85,6,192,82,completed
83,41,6,154,83,completed
84,-163,6,217,84,completed
85,17,6,164,85,completed
86,106,6,134,86,completed
87,80,6,142,87,completed
88,126,6,127,88,completed
89,22,6,165,89,completed
90,-85,6,200,90,completed
91,-279,6,233,91,completed
92,-133,6,214,92,completed
93,-204,6,217,93,completed
94,-153,6,214,94,completed
95,21,6,155,95,completed
96,-41,6,169,96,completed
97,32,6,165,97,completed
98,-230,6,229,98,completed
99,103,6,143,99,completed
100,-218,6,239,100,completed
