Id da RUN,Score,Deliveres,steps,seed,status
1,N/A,N/A,N/A,264771,error
2,N/A,N/A,N/A,231824,error
3,N/A,N/A,N/A,425141,error
4,N/A,N/A,N/A,32610,error
5,N/A,N/A,N/A,858093,error
6,N/A,N/A,N/A,450129,error
7,N/A,N/A,N/A,98119,error
8,N/A,N/A,N/A,495657,error
9,N/A,N/A,N/A,328203,error
10,N/A,N/A,N/A,66189,error
11,N/A,N/A,N/A,507701,error
12,N/A,N/A,N/A,555767,error
13,N/A,N/A,N/A,251216,error
14,N/A,N/A,N/A,565503,error
15,N/A,N/A,N/A,750610,error
16,N/A,N/A,N/A,178604,error
17,N/A,N/A,N/A,388095,error
18,N/A,N/A,N/A,309709,error
19,N/A,N/A,N/A,244857,error
20,N/A,N/A,N/A,879361,error
21,N/A,N/A,N/A,266737,error
22,N/A,N/A,N/A,896319,error
23,N/A,N/A,N/A,833990,error
24,N/A,N/A,N/A,880440,error
25,N/A,N/A,N/A,229849,error
26,N/A,N/A,N/A,388865,error
27,N/A,N/A,N/A,943237,error
28,N/A,N/A,N/A,744890,error
29,N/A,N/A,N/A,432884,error
30,N/A,N/A,N/A,221237,error
31,N/A,N/A,N/A,152283,error
32,N/A,N/A,N/A,22429,error
33,N/A,N/A,N/A,555656,error
34,N/A,N/A,N/A,597567,error
35,N/A,N/A,N/A,896405,error
36,N/A,N/A,N/A,482832,error
37,N/A,N/A,N/A,818075,error
38,N/A,N/A,N/A,19193,error
39,N/A,N/A,N/A,802493,error
40,N/A,N/A,N/A,674840,error
41,N/A,N/A,N/A,193995,error
42,N/A,N/A,N/A,528307,error
43,N/A,N/A,N/A,865542,error
44,N/A,N/A,N/A,407639,error
45,N/A,N/A,N/A,961516,error
46,N/A,N/A,N/A,400568,error
47,N/A,N/A,N/A,126610,error
48,N/A,N/A,N/A,813551,error
49,N/A,N/A,N/A,679978,error
50,N/A,N/A,N/A,746169,error
51,N/A,N/A,N/A,222105,error
52,N/A,N/A,N/A,517328,error
53,N/A,N/A,N/A,533718,error
54,N/A,N/A,N/A,814700,error
55,N/A,N/A,N/A,158465,error
1,78,6,160,295204,completed
2,-18,6,176,34619,completed
3,95,6,152,180107,completed
4,108,6,124,389057,completed
5,63,6,140,183014,completed
6,70,6,148,965343,completed
7,-127,6,212,236552,completed
8,-105,6,242,975958,completed
9,1,6,167,74541,completed
10,113,6,143,884493,completed
11,99,6,135,527618,completed
12,59,6,153,755648,completed
13,-4,6,184,439990,completed
14,48,6,151,926019,completed
15,93,6,155,121199,completed
16,28,6,162,233601,completed
17,-7,6,189,965005,completed
18,65,6,170,745459,completed
19,23,6,172,989120,completed
20,55,6,162,930411,completed
21,106,6,153,180310,completed
22,42,6,189,415634,completed
23,76,6,174,653612,completed
24,37,6,171,191190,completed
25,67,6,147,890867,completed
26,-111,6,215,251495,completed
27,-104,6,193,218364,completed
28,96,6,131,775122,completed
29,140,6,131,264890,completed
30,79,6,155,310831,completed
31,31,6,176,340849,completed
32,22,6,181,164394,completed
33,137,6,144,536037,completed
34,125,6,137,764240,completed
35,87,6,141,381021,completed
36,71,6,168,455899,completed
37,-47,6,183,961629,completed
38,-76,6,166,180514,completed
39,87,6,135,638046,completed
40,61,6,167,185491,completed
41,67,6,144,917089,completed
42,-33,6,186,342149,completed
43,30,6,174,785146,completed
44,54,6,171,452703,completed
45,38,6,162,766690,completed
46,123,6,148,214575,completed
47,49,6,162,436966,completed
48,144,6,144,392616,completed
49,159,6,111,240336,completed
50,66,6,153,208470,completed
51,31,6,159,297133,completed
52,29,6,139,633427,completed
53,-78,6,194,923536,completed
54,25,6,176,521261,completed
55,142,6,135,824364,completed
56,34,6,154,723106,completed
57,-14,6,184,32484,completed
58,61,6,156,384706,completed
59,-103,6,179,941186,completed
60,117,6,128,134215,completed
61,168,6,117,624460,completed
62,82,6,154,503816,completed
63,38,6,148,883881,completed
64,80,6,130,961074,completed
65,20,6,167,844282,completed
66,40,6,176,60572,completed
67,48,6,153,713147,completed
68,123,6,161,985396,completed
69,88,6,129,456046,completed
70,156,6,126,582027,completed
71,66,6,150,368627,completed
72,63,6,160,929756,completed
73,-1,6,173,224304,completed
74,138,6,130,772705,completed
75,-240,6,241,405708,completed
76,70,6,170,731543,completed
77,100,6,147,515103,completed
78,38,6,155,307054,completed
79,74,6,150,992539,completed
80,-20,6,181,196538,completed
81,96,6,144,524463,completed
82,104,6,141,831613,completed
83,-160,6,218,795654,completed
84,156,6,126,389411,completed
85,109,6,138,501861,completed
86,44,6,161,581409,completed
87,-74,6,217,730735,completed
88,72,6,144,741201,completed
89,50,6,149,720336,completed
90,101,6,149,627598,completed
91,-89,6,204,653649,completed
92,31,6,170,267156,completed
93,107,6,132,134946,completed
94,-18,6,192,638505,completed
95,-25,6,184,533562,completed
